"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OC1","OD1","REM","EQD"
"03041099999","2024-01-01T00:00:00","4","56.8166666","-4.9666666","1130.0","AONACH MOR, UK","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0018,1","-0018,1","99999,9",,,,,"SYN03003041 46/// ///// 11018 21018=",
"03041099999","2024-01-01T01:00:00","4","56.8166666","-4.9666666","1130.0","AONACH MOR, UK","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0016,1","-0016,1","99999,9",,,,,"SYN03003041 46/// ///// 11016 21016=",
"03041099999","2024-01-01T02:00:00","4","56.8166666","-4.9666666","1130.0","AONACH MOR, UK","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0015,1","-0015,1","99999,9",,,,,"SYN03003041 46/// ///// 11015 21015=",
"03041099999","2024-01-01T03:00:00","4","56.8166666","-4.9666666","1130.0","AONACH MOR, UK","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0016,1","-0016,1","99999,9",,,,,"SYN03003041 46/// ///// 11016 21016=",
"03041099999","2024-01-01T04:00:00","4","56.8166666","-4.9666666","1130.0","AONACH MOR, UK","FM-12","99999","V020","999,9,9,9999,9","99999,9,9,N","999999,9,9,9","-0018,1","-0018,1","99999,9",,,,,"SYN03003041 46/// ///// 11018 21018=",
